"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"China","CHN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0151795581994977","0.0398977880179366","0.0476378118075151","0.0528558004178185","0.0501461490032829","0.0401956959414098","0.0644312398268776","0.0530213275485564","0.029929758739019","0.0165824740219528","0.00885001911621865","0.00230458409544355","0.000426929417040269","0.000144219235451123","9.1487516889955E-05","6.69091777805985E-05","1.70561642175678E-06","0","0","0","0","","0","",
"Cote d'Ivoire","CIV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","504.400681680057","514.476093081382","516.261970778385","517.482617457325","510.388028970115","485.96299588787","450.987147814774","421.51056883493","422.16794451496","444.169248103349","466.272226163187","463.385931975613","375.893564915119","288.177567689344","257.757324937044","239.92403187898","242.267472416973","251.844533583687","264.819964612833","269.303795628746","269.854642304747","265.989156222769","260.752261089293","",
"Cameroon","CMR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.10943959929","413.693818851341","409.753957403507","422.406890996303","426.198650184468","421.707639148253","407.460409168168","380.174388744691","344.4914225215","306.183969439017","285.658955442077","264.990606816845","256.154041015403","260.653450654907","260.634862067382","259.133695447277","254.284964804191","245.064604122956","241.667181087436","232.057641005432","238.111888798225","234.102139269672","231.38528972862","",
"Congo, Dem. Rep.","COD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461.271129634751","462.037338911621","465.888863303818","471.414816173624","473.813680950141","474.636627588265","470.579154073665","456.425309354423","435.927571341521","408.753775776008","384.676424859322","361.568483313027","333.657873576831","307.60064821106","294.129864248823","298.758122999603","305.245033536132","317.119333003588","328.65566976936","330.001245288348","326.748625313463","320.997804662059","309.606702371537","",
"Congo, Rep.","COG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350.899321321111","351.612626651723","329.323016200372","328.433566846043","324.574401667282","306.469464084867","284.134598616482","253.790066498514","226.413230431714","214.933888937173","215.37178529227","216.253117217862","215.455681707999","216.85639757203","211.497148251488","208.769236784084","213.486326121727","232.528038491512","243.846513787198","236.969353943188","230.550137544031","222.15594555405","212.340195604198","",
"Colombia","COL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2713582077896","37.7590774840933","32.539980199017","27.9681721004546","21.415735138295","17.8553298799984","17.4685152131677","18.063979012988","11.3363843133867","11.2688681298307","16.5860398043185","8.98520247909044","8.30484593719529","7.06737598975599","5.51807958753749","8.1328924266064","10.958932691952","7.56340092311923","8.60054415328542","11.0968509556754","9.39946196807088","9.84678022430195","8.85419251697304","",
"Comoros","COM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3315684163068","65.0362123704452","63.7817571688963","62.5436304000842","61.3107713273934","60.0928320873047","58.8878341144912","57.693398757333","56.5030899010278","55.3220035082094","55.6961330683024","37.0945765448736","72.8066344023034","76.0030483576473","3.08279178071457","2.5800585032374","1.96587656385682","5.11511637677506","19.5616974081331","22.2494456286205","5.63903712138691","12.8245854252244","24.7079856687708","",
"Cabo Verde","CPV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.20861135591086","0.883209931571866","0.617685305591677","0.544771396297157","0.355700294836022","0.53069028758731","0.61676522060921","0.137163758286977","0.263778667088713","0.4848394435535","0.346825074714976","0.0510371477525427","0.0072044033313161","0.156713015728288","0.183125673515097","0.0487590813789068","0.33750740449918","2.87974511192201","0.0134669252316311","0","0","0","0","",
"Costa Rica","CRI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34916138741754","0.960788142337626","0.707593917325863","0.489763733336607","0.865984091153391","2.34416375383964","1.89446344201102","0.786998248398011","0.613071756050752","0.164047952092989","0.0679940758616086","0.00610510301140311","0.00422244567672835","0","0","0","0.00231104198527751","0.00686560127791725","0.0396767816008561","0.0533832026100453","0.0501927961068237","0.104773921161228","0.223902409432578","",
"Caribbean small states","CSS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11070777137825","3.11120014632744","3.11093762409532","3.1104121916252","3.11056941832841","3.11036499443087","3.11111530964729","3.11022815018487","3.11134538501389","3.97481923895382","1.46520146520147","3.11017861108106","3.11047640872722","2.31085056865586","12.725569104869","12.5534545522009","18.0123357524405","18.9849645746458","31.3377807881556","61.3377799354117","89.947879524763","71.0620713611988","48.359042812648","",
"Dominica","DMA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.323949428178244","0.275388056325758","0.347815891656485","0.403603982063131","0.611507216728718","0.98055975897643","0.886797857996971","0.671568200569887","0.450868660910545","0.397979506031224","0.594649896623403","0.382755753434903","0.22297795015936","0.10956786647949","0.0999365420614543","0.135735396232209","0.146754298469617","0.071614745407875","0.0900525795763785","0.265600793332219","0.168184175371037","0.0463753272808088","0.051737582454751","",
"Algeria","DZA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0188084201978093","0.00327377785780346","0.00538319173744667","0.00265539081510939","0.0010473134315853","0.000516562278039646","0.000509171191501322","0.0130246817719579","0.00147738347507186","0","0.000474788493595815","0.000465860138537488","0.0251292442722457","0.00358397889753225","0","0","0","0","0","0","0","0","0","",
"East Asia & Pacific (excluding high income)","EAP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90299340017211","5.55223612630503","5.20000679037123","5.25181191305666","5.65611202552538","5.22879829252006","5.14862036530923","4.57380956975091","4.69560275034788","5.10091137391745","5.2218595952963","4.50949083548728","5.13507588106574","3.77823458976547","3.4203998090457","2.4241705414359","2.55022594257934","2.26596752497988","2.26761353064113","2.08854937790032","2.27143044877033","","3.2377490059147","",
"Early-demographic dividend","EAR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5372438427523","29.5276681831585","27.4018845853184","27.652395866796","27.7368615322948","26.265970404559","23.3967847557122","21.8897147750201","21.0548272738291","23.4300188403203","24.3725399800632","22.363829012476","21.7903829988881","20.5238795571725","19.8843842817828","18.8379502891684","17.2789424851149","16.2469844729159","11.4665653069773","10.2107773990324","9.75404126882836","8.6487899290831","9.66287711196927","",
"East Asia & Pacific","EAS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.88669523752997","5.53547522155874","5.18373294110893","5.23476930318521","5.63743584981265","5.21221322380356","5.13309434724878","4.56049634117827","4.68078052018094","5.0846371004695","5.20561379174057","4.4949087576694","5.11829230723684","3.76597208566558","3.40949200006633","2.41665378917574","2.54227787542978","2.25884235251325","2.26057062398412","2.08210888841145","2.26430392378686","","3.22756416954001","",
"Europe & Central Asia (excluding high income)","ECA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000950885301822345","0.00012101480107829","5.96372054100964E-05","0","0","0","0","0","","","","",
"Europe & Central Asia","ECS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6081841776069","14.9601156993641","11.7126589384205","6.9072061004699","3.74573682867641","2.18492682417362","1.24235823096653","1.01454662246608","0.59535010992858","0.493852281194175","0.222258925290982","0.141166061779549","0.0619963084845139","0.0413009020992418","0.026759861755458","0.0683139219741699","0.127840287014862","0.134747274353271","0.171423575833569","0.183442423751592","0.194031436503814","0.215645962274747","0.145669622472568","",
"Egypt, Arab Rep.","EGY","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Euro area","EMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8492026344823","22.1212895427037","12.8847808609796","18.6516117118102","5.46226394609032","9.77493632872037","5.70745458566789","12.8386340087104","6.90902424962048","8.96790026096927","26.5178651134612","23.9053239679882","16.1357266626412","14.9585892590236","33.0048067881779","19.16763023779","25.7217289342633","34.1272553800737","28.9419958471852","57.271341350136","44.6259534943367","25.6602193402116","37.7599868839359","",
